label,neighbor
2,1
2,3
2,392
3,2
3,4
3,5
3,56
3,74
3,84
3,392
4,3
4,5
5,3
5,4
5,6
5,9
5,46
5,74
5,105
5,174
5,214
5,291
5,450
6,5
6,7
6,174
6,335
7,6
7,8
7,174
7,335
8,7
8,9
8,174
9,5
9,8
9,10
9,11
9,12
9,13
9,46
9,169
9,174
9,214
9,390
9,579
9,582
10,9
11,9
11,12
12,9
12,11
12,13
13,9
13,12
13,14
13,15
13,162
13,169
13,214
14,13
15,13
15,16
15,162
15,203
15,337
15,374
15,507
15,584
16,15
16,17
16,507
17,16
18,19
18,20
18,228
18,507
19,18
19,20
20,18
20,19
20,21
20,22
20,23
20,95
20,228
21,20
21,22
22,20
22,21
22,23
23,20
23,22
23,24
23,37
23,71
23,95
23,134
23,157
23,228
23,611
24,23
24,25
24,37
24,161
24,261
25,24
25,26
25,27
25,28
25,29
25,161
25,191
25,261
25,270
25,314
25,354
26,25
26,27
27,25
27,26
27,28
28,25
28,27
28,29
29,25
29,28
29,30
29,34
29,69
29,97
29,191
29,303
30,29
30,31
30,32
30,33
30,34
31,30
32,30
33,30
33,34
34,29
34,30
34,33
34,38
35,36
35,53
35,263
35,334
35,396
35,516
36,35
36,51
36,63
36,78
36,142
36,188
36,201
36,263
36,276
36,340
36,364
36,396
36,426
36,467
36,486
36,499
36,516
37,23
37,24
37,71
37,157
37,261
38,34
39,89
39,118
39,346
39,592
40,52
40,191
41,117
41,163
41,351
42,111
42,168
42,258
42,299
42,388
42,423
42,441
42,563
43,279
43,280
43,375
43,514
44,103
44,111
44,563
45,1
46,5
46,9
46,214
46,390
46,579
47,268
47,271
47,277
47,313
48,77
48,202
48,206
48,543
48,556
49,139
49,309
49,524
49,601
49,607
49,609
50,60
50,83
50,301
50,320
50,337
50,380
50,618
51,36
51,78
51,516
52,40
52,124
52,191
52,303
53,35
53,313
53,334
53,396
53,457
53,525
54,214
54,379
54,518
55,82
55,275
55,277
56,1
56,3
56,392
57,136
57,141
57,296
57,479
57,494
57,503
58,131
58,134
58,151
58,228
58,284
58,331
58,380
58,529
58,608
59,315
59,343
60,50
60,203
60,320
60,337
60,356
61,72
61,92
61,94
61,101
61,207
61,264
61,318
61,329
61,360
61,385
61,401
61,416
61,561
61,564
62,206
62,546
63,36
63,137
63,184
63,201
63,364
63,394
63,399
63,426
63,448
63,453
63,455
63,458
63,468
63,484
63,491
63,499
63,524
63,565
64,212
64,366
65,114
65,138
65,160
65,180
65,187
65,287
65,288
65,415
65,446
65,469
65,567
66,214
66,401
66,416
67,75
67,165
67,166
67,172
67,212
67,230
67,283
67,290
67,349
67,355
67,366
67,370
67,372
67,382
67,395
67,424
67,445
67,464
67,472
67,502
67,511
67,566
67,568
68,194
68,394
68,458
68,571
69,29
70,85
70,357
71,23
71,37
71,134
71,261
71,611
72,61
72,149
72,181
72,200
72,207
72,264
72,265
72,274
72,310
72,407
72,438
72,449
72,519
72,538
72,587
72,595
73,99
73,286
73,307
73,343
74,3
74,5
74,80
74,84
74,91
74,119
74,140
74,186
74,193
74,220
74,244
74,250
74,450
74,517
74,541
74,554
75,67
75,166
75,212
75,463
75,464
75,568
76,160
76,187
76,248
77,48
77,206
77,435
77,543
78,36
78,51
78,85
78,213
78,218
78,302
78,315
78,345
78,357
78,377
78,408
78,460
78,486
78,505
78,516
78,526
78,531
78,551
78,555
78,558
78,574
78,600
79,523
79,543
80,74
80,90
80,91
80,220
80,244
80,318
80,348
80,362
80,510
80,517
81,242
81,562
81,573
82,55
82,275
82,277
83,50
83,301
83,320
83,380
83,540
84,3
84,74
85,70
85,78
85,121
85,237
85,315
85,357
85,444
85,503
85,532
85,551
85,600
86,266
86,559
87,109
87,233
87,344
87,346
88,244
88,365
88,500
88,517
88,536
89,39
89,96
89,233
89,346
89,391
89,418
89,580
89,592
89,606
90,80
90,318
90,517
91,74
91,80
91,220
92,61
92,207
92,318
92,510
93,309
93,546
94,61
94,101
95,20
95,23
96,89
96,194
96,233
96,253
96,256
96,391
96,546
96,580
96,606
97,29
97,107
97,303
98,246
98,279
98,375
98,388
98,440
99,73
99,101
99,307
99,315
99,343
100,192
100,266
100,453
100,491
101,61
101,94
101,99
101,143
101,181
101,264
101,269
101,307
101,310
101,315
101,342
101,508
101,519
