label,neighbor
11,58
11,67
11,97
11,139
11,225
11,281
11,419
11,540
11,671
11,708
11,717
11,742
11,786
11,906
11,1176
11,1320
11,1469
11,1509
11,1510
45,74
45,94
45,111
45,117
55,64
55,100
58,11
58,97
60,89
60,93
60,423
60,435
60,1118
64,55
64,81
64,100
64,291
64,399
64,583
64,614
65,80
65,100
65,211
67,11
67,81
67,139
67,327
67,382
67,498
67,583
67,925
67,1320
67,1509
67,1510
68,76
68,98
68,107
72,101
72,129
74,45
74,111
76,68
76,84
76,107
76,120
79,102
79,1284
80,65
80,95
80,211
80,492
81,64
81,67
81,583
82,86
82,96
83,86
83,1284
84,76
84,97
84,99
84,120
84,961
86,82
86,83
86,96
86,190
86,950
86,1284
89,60
89,129
89,435
92,93
92,102
92,168
92,423
92,1220
92,1284
92,1415
93,60
93,92
93,423
94,45
94,101
94,117
94,121
94,185
95,80
95,96
95,298
95,492
95,885
96,82
96,86
96,95
96,885
96,950
97,11
97,58
97,84
97,99
97,616
97,742
97,961
98,68
98,107
99,84
99,97
100,55
100,64
100,65
100,211
100,291
100,656
101,72
101,94
101,129
101,185
101,1196
102,79
102,92
102,1284
102,1415
103,175
103,222
103,323
103,403
103,526
103,642
103,748
103,1292
104,239
104,500
104,546
104,656
104,764
104,916
104,1037
104,1073
104,1111
104,1161
104,1291
104,1296
104,1460
104,1502
105,191
105,478
105,640
105,656
105,694
105,1028
105,1214
105,1238
105,1264
105,1480
106,265
106,462
106,886
106,1277
106,1322
107,68
107,76
107,98
108,537
108,730
108,820
108,848
108,878
108,1061
108,1087
108,1107
108,1144
108,1258
109,593
109,819
109,1082
109,1186
109,1298
110,525
110,1098
111,45
111,74
111,117
112,155
112,182
112,224
112,463
112,752
112,848
112,1000
112,1096
113,215
113,279
113,295
113,302
113,461
113,571
113,610
113,747
113,844
113,937
113,1050
113,1164
114,175
114,363
114,449
114,470
114,497
114,526
114,643
114,663
114,1286
114,1292
115,387
115,408
115,420
115,608
115,684
115,793
115,1162
115,1285
116,815
116,978
116,981
117,45
117,94
117,111
117,121
118,146
118,217
118,221
118,364
118,549
118,598
118,863
118,885
118,1012
118,1093
118,1128
118,1282
120,76
120,84
120,193
120,616
120,961
121,94
121,117
123,137
123,159
123,246
123,619
123,862
123,979
123,1325
123,1398
124,374
124,469
124,497
124,637
124,693
124,694
124,992
124,1019
124,1288
124,1370
124,1470
125,857
125,1168
125,1340
126,162
126,675
126,987
126,1058
126,1263
127,191
127,241
127,278
127,705
127,713
127,854
127,1009
127,1028
127,1030
127,1047
127,1238
127,1268
127,1476
129,72
129,89
129,101
129,180
129,185
129,220
129,233
129,258
129,308
129,334
129,425
129,435
129,565
129,848
129,1079
129,1080
129,1196
129,1331
129,1404
129,1473
130,137
130,252
130,350
130,503
130,609
130,1104
130,1178
130,1374
130,1517
131,197
131,705
131,713
131,749
132,234
132,870
132,911
132,946
132,1398
134,141
134,510
134,1291
134,1303
135,198
135,202
135,753
135,785
135,1048
137,123
137,130
137,161
137,350
137,357
137,381
137,386
137,426
137,479
137,485
137,503
137,619
137,707
137,739
137,754
137,795
137,803
137,979
137,1206
137,1378
137,1390
137,1439
137,1500
138,555
138,916
138,1321
138,1379
139,11
139,67
139,1509
140,993
140,1248
140,1343
141,134
141,165
141,656
141,943
141,1066
141,1131
141,1133
141,1291
141,1303
142,272
142,917
142,1050
142,1355
143,164
143,280
143,360
143,448
143,656
143,749
143,1360
146,118
146,336
146,364
146,457
146,462
146,623
146,885
147,391
147,816
147,1312
148,263
148,686
148,891
148,1421
149,555
149,656
149,929
150,454
150,943
150,1437
151,204
151,324
151,545
151,1163
151,1239
151,1394
152,305
152,316
152,353
152,359
152,385
152,659
152,922
152,1008
152,1212
152,1368
153,247
153,352
153,744
154,275
154,277
154,489
154,507
154,539
154,592
154,769
155,112
155,472
155,848
155,1096
155,1258
156,193
156,195
156,417
156,551
156,1176
157,444
157,1174
157,1232
157,1490
158,182
158,711
158,978
159,123
159,372
159,858
159,979
159,1085
159,1178
159,1398
159,1417
160,168
160,186
160,324
160,1163
160,1220
160,1284
161,137
161,173
161,427
161,479
161,651
161,690
161,1206
161,1324
162,126
162,194
162,456
162,675
162,731
162,801
162,857
162,987
162,1168
162,1263
162,1340
163,329
163,341
163,440
163,656
164,143
164,197
164,448
164,588
164,1068
164,1160
