Label,Parent,Geometry/Area,Geometry/Perimeter,Lobeyness/Circularity,CellCenters(x),CellCenters(y)
1,0,7,8.419,0.805773749809538,3461,1277.42857142857
11,0,33331,1384.59,4.57703437036884,173.43260028202,194.324742731991
45,0,2737,217.943,1.38102387905516,34.0599196200219,1248.54804530508
55,0,38,25.166,1.32627909386459,2.44736842105263,550.657894736842
58,0,728,115.244,1.45176193217399,18.5164835164835,178.001373626374
60,0,4464,341.192,2.07521753916048,49.4186827956989,1041.27016129032
64,0,7254,434.81,2.07401375378855,68.0307416597739,515.93300248139
65,0,3283,246.838,1.47687347672403,36.2415473652147,613.286323484618
67,0,8395,455.264,1.96469914053549,73.3536628945801,377.404526503871
68,0,772,105.411,1.14536709542652,14.229274611399,17.7253886010363
72,0,2154,205.074,1.55369454873324,33.0923862581244,1150.07288765088
74,0,475,117.766,2.32346628391822,19.0421052631579,1272.78105263158
76,0,3364,301.969,2.15704333613952,49.7529726516052,32.1293103448276
79,0,1531,202.172,2.12450109897031,24.5983017635532,894
80,0,4252,273.716,1.40215895370002,38.4586077140169,666.836782690499
81,0,466,107.255,1.96444246540108,10.7381974248927,460.30686695279
82,0,1106,131.354,1.24142822139365,13.9358047016275,778.521699819168
83,0,1344,152.939,1.38492852265103,18.9241071428571,861.5625
84,0,6512,398.889,1.94437426516982,68.8714680589681,79.9520884520884
86,0,5497,354.293,1.81714482898048,58.4082226669092,820.26723667455
89,0,2555,209.549,1.36763566209524,28.3021526418787,1103.88923679061
92,0,6754,505.313,3.00850004489346,89.5401243707433,967.884957062481
93,0,4669,312.775,1.66736364352692,58.375669308203,1002.16598843435
94,0,8257,698.477,4.70188573997058,135.60288240281,1243.62334988495
95,0,7031,536.092,3.25275752913697,115.408903427677,709.919357132698
96,0,5313,476.508,3.40087533739025,90.7233201581028,741.429324298889
97,0,9632,511.569,2.16213148294535,110.634032392027,128.712936046512
98,0,99,58.395,2.74098252628082,14.5151515151515,2.37373737373737
99,0,2381,198.98,1.32327343378772,30.9781604367913,113.343553128937
100,0,9856,496.067,1.98687303511972,95.7790178571429,566.079038149351
101,0,10200,717.766,4.01934910375475,149.648725490196,1215.15196078431
102,0,2323,259.484,2.30654586195442,52.2776582006027,931.398191993112
103,0,5986,506.276,3.40743910948282,2950.92799866355,53.6703975943869
104,0,9517,476.545,1.89888166489755,3079.44982662604,1092.52211831459
105,0,11076,687.512,3.39600057106618,3269.09452871073,723.156103286385
106,0,4770,426.852,3.03966972678876,1709.95073375262,1011.27379454927
107,0,641,130.023,2.09880684009804,47.4680187207488,7.95787831513261
108,0,9597,593.873,2.92443385467272,2404.57549234136,303.211107637803
109,0,5623,350.656,1.74014164758372,1074.04179263738,109.28507913925
110,0,567,87.127,1.06539976825845,2828.7442680776,653.128747795414
111,0,278,76.334,1.66794367650811,59.9424460431655,1273.44604316547
112,0,7131,487.654,2.65377000654937,3263.73425886972,593.805777590801
113,0,8037,446.913,1.97761680202367,1882.86972751026,1215.53303471445
114,0,10494,534.005,2.16241837448482,1898.49123308557,739.116542786354
115,0,3558,332.91,2.47877937414043,3014.44772344013,902.182686902754
116,0,1279,153.528,1.4665429157683,1324.04847537138,1227.81548084441
117,0,674,102.7,1.24529179504727,84.0504451038576,1266.22255192878
118,0,20162,838.487,2.77491185838842,2842.46319809543,906.044638428727
120,0,4789,643.754,6.8862879707843,192.278555021925,13.2489037377323
121,0,1300,182.663,2.04243364433899,116.955384615385,1264.86846153846
123,0,4522,406.801,2.91221612099874,993.084033613445,1128.62251216276
124,0,8153,630.684,3.8823646186019,1061.74328468049,414.204955231203
125,0,3294,302.997,2.21790631877196,1077.6080752884,512.567395264117
126,0,2362,268.17,2.42287286846416,281.234546994073,1010.92421676545
127,0,7206,571.13,3.60218343277786,1158.37552039967,894.149458784346
129,0,59784,2515.593,8.4233708572345,1962.24260671752,835.903987689014
130,0,6441,517.039,3.30280887349786,3069.76292501164,292.750349324639
131,0,976,128.188,1.33978484728025,2112.22848360656,315.8125
132,0,1119,126.468,1.13742128357805,323.525469168901,437.462019660411
134,0,1324,192.811,2.23442491340083,1528.9086102719,89.7469788519637
135,0,1092,139.593,1.4200210399009,3103.8836996337,239.199633699634
137,0,29477,1575.223,6.69870639840764,622.787970281915,970.343589917563
138,0,4048,317.947,1.98728015284947,1736.56694664032,1188.49505928854
139,0,1161,149.922,1.5405955909552,1366.38673557278,1239.52196382429
140,0,602,92.634,1.13431710187329,3021.43023255814,550.15780730897
141,0,8665,658.863,3.98668395017981,2378.75487593768,243.876514714368
142,0,832,113.418,1.23035596495955,1690.90024038462,1070.95793269231
143,0,6518,442.235,2.38771233042457,2098.36729057993,673.379871126112
146,0,8457,507.213,2.42077573551189,2648.28272437034,727.854913089748
147,0,4111,336.232,2.18836997250135,457.05692045731,717.688396983702
148,0,786,110.498,1.23616494786233,1832.20992366412,624.97582697201
149,0,871,114.095,1.18933775709702,772.721010332951,670.39954075775
150,0,1073,133.613,1.323999571555,515.157502329916,163.784715750233
151,0,1524,226.536,2.67965957490582,941.502624671916,218.292650918635
152,0,6363,523.413,3.42623559586581,2995.69652679554,465.794593745089
153,0,507,91.113,1.30299536149219,623.958579881657,1111.58777120316
154,0,4186,313.721,1.87101855016477,3375.92904921166,522.517200191113
155,0,2013,209.048,1.72758090428919,3220.5434674615,697.57128663686
156,0,1079,135.333,1.35075352516945,839.294717330862,1049.36237256719
157,0,1660,192.39,1.77438164876022,708.980722891566,711.560240963855
158,0,770,115.386,1.37595948810904,3254.17012987013,104.194805194805
159,0,4993,315.573,1.58718754520162,1459.79230923293,409.235529741638
160,0,5402,388.85,2.2274079362029,3032.13735653462,720.528507960015
161,0,3861,304.22,1.90750576134004,650.996373996374,117.948458948459
162,0,6396,492.169,3.01377060042505,3017.86069418386,133.204971857411
163,0,645,117.363,1.69938909058044,2137.91937984496,1248.31782945736
164,0,3254,291.6,2.0794459031764,700.89766441303,354.301782421635
165,0,4505,432.357,3.30202479551687,230.752275249723,1093.14716981132
166,0,1549,188.272,1.82100102579056,1445.40542285345,217.895416397676
167,0,5952,410.879,2.25712236250536,2688.61609543011,407.951948924731
168,0,1292,189.181,2.20436068078837,3075.31578947368,856.308049535604
169,0,2570,210.733,1.37506146757453,727.367704280156,93.8175097276265
170,0,2223,210.65,1.58845018730997,3142.21187584345,874.459739091318
171,0,326,70.669,1.21907500715607,2415.13496932515,449.306748466258
172,0,3164,332.357,2.77819881359821,609.507901390645,890.692793931732
173,0,616,100.326,1.30027861003188,695.207792207792,767.613636363636
175,0,803,123.275,1.50599875593401,3179.27770859278,543.794520547945
176,0,9113,630.983,3.47667490575326,2860.22253922967,753.479424997257
177,0,8462,529.069,2.63233856160904,1727.1000945403,455.036043488537
178,0,7607,563.355,3.32002249374253,362.17142105955,196.412777704746
179,0,2022,187.138,1.37826571237638,402.7215628091,1068.93521266073
180,0,706,103.229,1.20112685041905,1500.80169971671,473.270538243626
182,0,17169,859.855,3.42685380669204,3198.69625487798,1216.43153357796
184,0,12127,779.043,3.98253515054687,823.76836810423,440.361012616476
185,0,4460,315.754,1.77890599680409,340.241255605381,1254.41547085202
186,0,4432,401.186,2.88989406265965,2196.80076714801,228.085740072202
187,0,5088,394.009,2.42803709567231,906.457547169811,686.797955974843
188,0,7889,481.085,2.33459640247655,2523.65661047028,1248.31486880466
190,0,9644,652.898,3.51741499566782,3038.18042306097,1162.39744919121
